Logging to ./multi.log
---------------------------------
| rollout/           |          |
|    clip_fraction        | 0.0342      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.46       |
|    explained_variance   | 0.191       |
|    learning_rate        | 0.001       |
|    loss                 | 0.186       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00633    |
|    std                  | 1.07        |
|    value_loss           | 0.398       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 79.9       |
|    ep_rew_mean          | 638        |
| time/                   |            |
|    fps                  | 27         |
|    iterations           | 3          |
|    time_elapsed         | 56         |
|    total_timesteps      | 1536       |
| train/                  |            |
|    approx_kl            | 0.01028044 |
|    clip_fraction        | 0.0781     |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.47      |
|    explained_variance   | 0.279      |
|    learning_rate        | 0.001      |
|    loss                 | -0.00994   |
|    n_updates            | 92         |
|    policy_gradient_loss | -0.00841   |
|    std                  | 1.08       |
|    value_loss           | 0.27       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 87.7        |
|    ep_rew_mean          | 688         |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 4           |
|    time_elapsed         | 73          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.009875814 |
|    clip_fraction        | 0.0762      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.48       |
|    explained_variance   | -0.0577     |
|    learning_rate        | 0.001       |
|    loss                 | 0.171       |
|    n_updates            | 94          |
|    policy_gradient_loss | -0.00896    |
|    std                  | 1.08        |
|    value_loss           | 0.538       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 24         |
|    ep_rew_mean          | 34         |
| time/                   |            |
|    fps                  | 25         |
|    iterations           | 1          |
|    time_elapsed         | 19         |
|    total_timesteps      | 512        |
| train/                  |            |
|    approx_kl            | 0.01727406 |
|    clip_fraction        | 0.138      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.48      |
|    explained_variance   | 0.445      |
|    learning_rate        | 0.001      |
|    loss                 | 0.00809    |
|    n_updates            | 96         |
|    policy_gradient_loss | -0.0109    |
|    std                  | 1.08       |
|    value_loss           | 0.125      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 95.1        |
|    ep_rew_mean          | 762         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 2           |
|    time_elapsed         | 38          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.011184169 |
|    clip_fraction        | 0.0723      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.47       |
|    explained_variance   | 0.225       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0503      |
|    n_updates            | 98          |
|    policy_gradient_loss | -0.00776    |
|    std                  | 1.07        |
|    value_loss           | 0.261       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 91.7        |
|    ep_rew_mean          | 725         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 3           |
|    time_elapsed         | 57          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.019509595 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.47       |
|    explained_variance   | 0.0856      |
|    learning_rate        | 0.001       |
|    loss                 | 0.0444      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00605    |
|    std                  | 1.07        |
|    value_loss           | 0.25        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 98.6        |
|    ep_rew_mean          | 804         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 4           |
|    time_elapsed         | 77          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.013356203 |
|    clip_fraction        | 0.0918      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.47       |
|    explained_variance   | 0.621       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0282     |
|    n_updates            | 102         |
|    policy_gradient_loss | -0.0104     |
|    std                  | 1.08        |
|    value_loss           | 0.106       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 40          |
|    ep_rew_mean          | 252         |
| time/                   |             |
|    fps                  | 30          |
|    iterations           | 1           |
|    time_elapsed         | 16          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.015868852 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.48       |
|    explained_variance   | 0.53        |
|    learning_rate        | 0.001       |
|    loss                 | 0.0302      |
|    n_updates            | 104         |
|    policy_gradient_loss | -0.00939    |
|    std                  | 1.08        |
|    value_loss           | 0.283       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 106          |
|    ep_rew_mean          | 938          |
| time/                   |              |
|    fps                  | 30           |
|    iterations           | 2            |
|    time_elapsed         | 33           |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0099614225 |
|    clip_fraction        | 0.0703       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.47        |
|    explained_variance   | 0.396        |
|    learning_rate        | 0.001        |
|    loss                 | 0.0416       |
|    n_updates            | 106          |
|    policy_gradient_loss | -0.0101      |
|    std                  | 1.08         |
|    value_loss           | 0.17         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 89.9       |
|    ep_rew_mean          | 764        |
| time/                   |            |
|    fps                  | 29         |
|    iterations           | 3          |
|    time_elapsed         | 52         |
|    total_timesteps      | 1536       |
| train/                  |            |
|    approx_kl            | 0.00996041 |
|    clip_fraction        | 0.0771     |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.48      |
|    explained_variance   | 0.803      |
|    learning_rate        | 0.001      |
|    loss                 | -0.0508    |
|    n_updates            | 108        |
|    policy_gradient_loss | -0.00775   |
|    std                  | 1.08       |
|    value_loss           | 0.0601     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 92.2        |
|    ep_rew_mean          | 748         |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 4           |
|    time_elapsed         | 71          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.007717873 |
|    clip_fraction        | 0.0605      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.48       |
|    explained_variance   | 0.489       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0269      |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00575    |
|    std                  | 1.08        |
|    value_loss           | 0.282       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30          |
|    ep_rew_mean          | 94.8        |
| time/                   |             |
|    fps                  | 29          |
|    iterations           | 1           |
|    time_elapsed         | 17          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.009521049 |
|    clip_fraction        | 0.0889      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.48       |
|    explained_variance   | 0.502       |
|    learning_rate        | 0.001       |
|    loss                 | 0.174       |
|    n_updates            | 112         |
|    policy_gradient_loss | -0.0015     |
|    std                  | 1.08        |
|    value_loss           | 0.453       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 89.5        |
|    ep_rew_mean          | 761         |
| time/                   |             |
|    fps                  | 29          |
|    iterations           | 2           |
|    time_elapsed         | 34          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.015882306 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.48       |
|    explained_variance   | 0.698       |
|    learning_rate        | 0.001       |
|    loss                 | 0.00104     |
|    n_updates            | 114         |
|    policy_gradient_loss | -0.00403    |
|    std                  | 1.08        |
|    value_loss           | 0.146       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 81.6        |
|    ep_rew_mean          | 690         |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 3           |
|    time_elapsed         | 54          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.019512523 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.48       |
|    explained_variance   | 0.765       |
|    learning_rate        | 0.001       |
|    loss                 | -0.00241    |
|    n_updates            | 116         |
|    policy_gradient_loss | -0.0154     |
|    std                  | 1.08        |
|    value_loss           | 0.129       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 86.1        |
|    ep_rew_mean          | 739         |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 4           |
|    time_elapsed         | 70          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.014165953 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.48       |
|    explained_variance   | 0.654       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0327      |
|    n_updates            | 118         |
|    policy_gradient_loss | -0.00416    |
|    std                  | 1.08        |
|    value_loss           | 0.278       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 27          |
|    ep_rew_mean          | 85.7        |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 1           |
|    time_elapsed         | 18          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.015103279 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.48       |
|    explained_variance   | 0.822       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0124     |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0109     |
|    std                  | 1.08        |
|    value_loss           | 0.124       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 104         |
|    ep_rew_mean          | 927         |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 2           |
|    time_elapsed         | 37          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.012946963 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.48       |
|    explained_variance   | 0.687       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0314     |
|    n_updates            | 122         |
|    policy_gradient_loss | -0.0132     |
|    std                  | 1.08        |
|    value_loss           | 0.129       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 86.2        |
|    ep_rew_mean          | 716         |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 3           |
|    time_elapsed         | 56          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.013232257 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.48       |
|    explained_variance   | 0.621       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0391      |
|    n_updates            | 124         |
|    policy_gradient_loss | -0.008      |
|    std                  | 1.08        |
|    value_loss           | 0.158       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 95           |
|    ep_rew_mean          | 824          |
| time/                   |              |
|    fps                  | 26           |
|    iterations           | 4            |
|    time_elapsed         | 76           |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0111381505 |
|    clip_fraction        | 0.0781       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.48        |
|    explained_variance   | 0.668        |
|    learning_rate        | 0.001        |
|    loss                 | 0.0196       |
|    n_updates            | 126          |
|    policy_gradient_loss | -0.00737     |
|    std                  | 1.08         |
|    value_loss           | 0.206        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25          |
|    ep_rew_mean          | 45.4        |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 1           |
|    time_elapsed         | 18          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.012725845 |
|    clip_fraction        | 0.0947      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.49       |
|    explained_variance   | 0.259       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0288      |
|    n_updates            | 128         |
|    policy_gradient_loss | -0.00814    |
|    std                  | 1.08        |
|    value_loss           | 0.297       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 103         |
|    ep_rew_mean          | 909         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 2           |
|    time_elapsed         | 38          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.009596581 |
|    clip_fraction        | 0.0781      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.5        |
|    explained_variance   | 0.602       |
|    learning_rate        | 0.001       |
|    loss                 | 0.00256     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00694    |
|    std                  | 1.09        |
|    value_loss           | 0.139       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 96.7        |
|    ep_rew_mean          | 847         |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 3           |
|    time_elapsed         | 54          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.015549665 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.5        |
|    explained_variance   | 0.766       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0151     |
|    n_updates            | 132         |
|    policy_gradient_loss | -0.0085     |
|    std                  | 1.09        |
|    value_loss           | 0.114       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 99.7        |
|    ep_rew_mean          | 889         |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 4           |
|    time_elapsed         | 72          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.013563754 |
|    clip_fraction        | 0.0928      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.5        |
|    explained_variance   | 0.657       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0348     |
|    n_updates            | 134         |
|    policy_gradient_loss | -0.0119     |
|    std                  | 1.09        |
|    value_loss           | 0.108       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 28          |
|    ep_rew_mean          | 73.1        |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 1           |
|    time_elapsed         | 18          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.014376961 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.5        |
|    explained_variance   | 0.81        |
|    learning_rate        | 0.001       |
|    loss                 | 0.0335      |
|    n_updates            | 136         |
|    policy_gradient_loss | -0.01       |
|    std                  | 1.09        |
|    value_loss           | 0.168       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 81.4        |
|    ep_rew_mean          | 715         |
| time/                   |             |
|    fps                  | 29          |
|    iterations           | 2           |
|    time_elapsed         | 34          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.019771773 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.51       |
|    explained_variance   | 0.561       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0428      |
|    n_updates            | 138         |
|    policy_gradient_loss | -0.0124     |
|    std                  | 1.09        |
|    value_loss           | 0.313       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 87.2        |
|    ep_rew_mean          | 785         |
| time/                   |             |
|    fps                  | 30          |
|    iterations           | 3           |
|    time_elapsed         | 50          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.010128582 |
|    clip_fraction        | 0.0488      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.53       |
|    explained_variance   | 0.794       |
|    learning_rate        | 0.001       |
|    loss                 | -0.026      |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00709    |
|    std                  | 1.1         |
|    value_loss           | 0.0712      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 92.4         |
|    ep_rew_mean          | 833          |
| time/                   |              |
|    fps                  | 29           |
|    iterations           | 4            |
|    time_elapsed         | 69           |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0073361457 |
|    clip_fraction        | 0.0566       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.53        |
|    explained_variance   | 0.77         |
|    learning_rate        | 0.001        |
|    loss                 | -0.0272      |
|    n_updates            | 142          |
|    policy_gradient_loss | 0.000217     |
|    std                  | 1.1          |
|    value_loss           | 0.107        |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 30.5       |
|    ep_rew_mean          | 98.5       |
| time/                   |            |
|    fps                  | 23         |
|    iterations           | 1          |
|    time_elapsed         | 21         |
|    total_timesteps      | 512        |
| train/                  |            |
|    approx_kl            | 0.02091819 |
|    clip_fraction        | 0.152      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.54      |
|    explained_variance   | 0.681      |
|    learning_rate        | 0.001      |
|    loss                 | 0.0204     |
|    n_updates            | 144        |
|    policy_gradient_loss | -0.0139    |
|    std                  | 1.1        |
|    value_loss           | 0.211      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.8        |
|    ep_rew_mean          | 442         |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 2           |
|    time_elapsed         | 40          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.007126801 |
|    clip_fraction        | 0.04        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.55       |
|    explained_variance   | 0.616       |
|    learning_rate        | 0.001       |
|    loss                 | 0.24        |
|    n_updates            | 146         |
|    policy_gradient_loss | -0.00513    |
|    std                  | 1.11        |
|    value_loss           | 0.63        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 69.7      |
|    ep_rew_mean          | 586       |
| time/                   |           |
|    fps                  | 25        |
|    iterations           | 3         |
|    time_elapsed         | 59        |
|    total_timesteps      | 1536      |
| train/                  |           |
|    approx_kl            | 0.0141473 |
|    clip_fraction        | 0.103     |
|    clip_range           | 0.2       |
|    entropy_loss         | -4.56     |
|    explained_variance   | 0.716     |
|    learning_rate        | 0.001     |
|    loss                 | 0.00618   |
|    n_updates            | 148       |
|    policy_gradient_loss | -0.0154   |
|    std                  | 1.11      |
|    value_loss           | 0.217     |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 81.5        |
|    ep_rew_mean          | 733         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 4           |
|    time_elapsed         | 77          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.008831302 |
|    clip_fraction        | 0.0576      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.57       |
|    explained_variance   | 0.585       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0158     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00675    |
|    std                  | 1.11        |
|    value_loss           | 0.171       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31          |
|    ep_rew_mean          | 142         |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 1           |
|    time_elapsed         | 18          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.012168759 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.56       |
|    explained_variance   | 0.547       |
|    learning_rate        | 0.001       |
|    loss                 | -0.072      |
|    n_updates            | 152         |
|    policy_gradient_loss | -0.00782    |
|    std                  | 1.11        |
|    value_loss           | 0.0607      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 106         |
|    ep_rew_mean          | 1.02e+03    |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 2           |
|    time_elapsed         | 35          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.012773264 |
|    clip_fraction        | 0.083       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.56       |
|    explained_variance   | 0.492       |
|    learning_rate        | 0.001       |
|    loss                 | 0.195       |
|    n_updates            | 154         |
|    policy_gradient_loss | -0.00807    |
|    std                  | 1.11        |
|    value_loss           | 0.244       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 93.5        |
|    ep_rew_mean          | 874         |
| time/                   |             |
|    fps                  | 29          |
|    iterations           | 3           |
|    time_elapsed         | 51          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.010483906 |
|    clip_fraction        | 0.0781      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.57       |
|    explained_variance   | 0.829       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0497     |
|    n_updates            | 156         |
|    policy_gradient_loss | -0.00996    |
|    std                  | 1.11        |
|    value_loss           | 0.0405      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 94.8        |
|    ep_rew_mean          | 870         |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 4           |
|    time_elapsed         | 71          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.009393612 |
|    clip_fraction        | 0.082       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.57       |
|    explained_variance   | 0.388       |
|    learning_rate        | 0.001       |
|    loss                 | 0.144       |
|    n_updates            | 158         |
|    policy_gradient_loss | -0.00462    |
|    std                  | 1.11        |
|    value_loss           | 0.373       |
-----------------------------------------
